code,name,industry,area,Lastdate
2550,千红制药,生物制药,江苏,2016-12-09
2549,凯美特气,环境保护,湖南,2016-12-09
2548,金新农,饲料,深圳,2016-12-09
2531,天顺风能,电气设备,江苏,2016-12-09
2532,新界泵业,农用机械,浙江,2016-12-09
2572,索菲亚,家居用品,广东,2016-12-09
2533,金杯电工,电气设备,湖南,2016-12-09
2534,杭锅股份,专用机械,浙江,2016-12-09
2535,林州重机,工程机械,河南,2016-12-09
2536,西泵股份,汽车配件,河南,2016-12-09
2537,海立美达,机械基件,山东,2016-12-09
2475,立讯精密,元器件,深圳,2016-12-09
2538,司尔特,农药化肥,安徽,2016-12-09
2540,亚太科技,铝,江苏,2016-12-09
2541,鸿路钢构,钢加工,安徽,2016-12-09
2542,中化岩土,建筑施工,北京,2016-12-09
2543,万和电气,家用电器,广东,2016-12-09
2544,杰赛科技,软件服务,广东,2016-12-09
2545,东方铁塔,钢加工,山东,2016-12-09
2546,新联电子,电气设备,江苏,2016-12-09
2547,春兴精工,通信设备,江苏,2016-12-09
2539,新都化工,农药化肥,四川,2016-12-09
2208,合肥城建,区域地产,安徽,2016-12-09
2474,榕基软件,软件服务,福建,2016-12-09
2472,双环传动,机械基件,浙江,2016-12-09
2232,启明信息,软件服务,吉林,2016-12-09
2233,塔牌集团,水泥,广东,2016-12-09
2234,民和股份,农业综合,山东,2016-12-09
2235,安妮股份,造纸,福建,2016-12-09
2236,大华股份,电器仪表,浙江,2016-12-09
2237,恒邦股份,黄金,山东,2016-12-09
2238,天威视讯,影视音像,深圳,2016-12-09
2581,未名医药,化学制药,山东,2016-12-09
2580,圣阳股份,电气设备,山东,2016-12-09
2381,双箭股份,橡胶,浙江,2016-12-09
2420,毅昌股份,塑料,广东,2016-12-09
2421,达实智能,软件服务,深圳,2016-12-09
2422,科伦药业,化学制药,四川,2016-12-09
2423,中原特钢,特种钢,河南,2016-12-09
2424,贵州百灵,中成药,贵州,2016-12-09
2425,凯撒股份,服饰,广东,2016-12-09
2426,胜利精密,元器件,江苏,2016-12-09
2231,奥维通信,通信设备,辽宁,2016-12-09
2427,尤夫股份,化纤,浙江,2016-12-09
2230,科大讯飞,软件服务,安徽,2016-12-09
2228,合兴包装,广告包装,福建,2016-12-09
2210,飞马国际,仓储物流,深圳,2016-12-09
2211,宏达新材,橡胶,江苏,2016-12-09
2212,南洋股份,电气设备,广东,2016-12-09
2213,特 尔 佳,汽车配件,深圳,2016-12-09
2214,大立科技,电器仪表,浙江,2016-12-09
2215,诺 普 信,农药化肥,深圳,2016-12-09
2570,贝因美,乳制品,浙江,2016-12-09
2217,合力泰,元器件,山东,2016-12-09
2218,拓日新能,半导体,深圳,2016-12-09
2219,恒康医疗,中成药,甘肃,2016-12-09
2220,天宝股份,食品,辽宁,2016-12-09
2221,东华能源,石油贸易,江苏,2016-12-09
2222,福晶科技,元器件,福建,2016-12-09
2223,鱼跃医疗,医疗保健,江苏,2016-12-09
2224,三 力 士,橡胶,浙江,2016-12-09
2225,濮耐股份,其他建材,河南,2016-12-09
2227,奥 特 迅,电气设备,深圳,2016-12-09
2229,鸿博股份,广告包装,福建,2016-12-09
2428,云南锗业,小金属,云南,2016-12-09
2429,兆驰股份,家用电器,深圳,2016-12-09
2430,杭氧股份,化工机械,浙江,2016-12-09
2454,松芝股份,汽车配件,上海,2016-12-09
2455,百川股份,化工原料,江苏,2016-12-09
2456,欧菲光,元器件,深圳,2016-12-09
2457,青龙管业,塑料,宁夏,2016-12-09
2458,益生股份,农业综合,山东,2016-12-09
2459,天业通联,工程机械,河北,2016-12-09
2460,赣锋锂业,小金属,江西,2016-12-09
2461,珠江啤酒,啤酒,广东,2016-12-09
2463,沪电股份,元器件,江苏,2016-12-09
2464,金利科技,塑料,江苏,2016-12-09
2465,海格通信,通信设备,广东,2016-12-09
2466,天齐锂业,小金属,四川,2016-12-09
2467,二六三,电信运营,北京,2016-12-09
2468,艾迪西,其他建材,浙江,2016-12-09
2469,三维工程,建筑施工,山东,2016-12-09
2470,金正大,农药化肥,山东,2016-12-09
2471,中超控股,电气设备,江苏,2016-12-09
2453,天马精化,化工原料,江苏,2016-12-09
2452,长高集团,电气设备,湖南,2016-12-09
2451,摩恩电气,电气设备,上海,2016-12-09
2450,康得新,化工原料,江苏,2016-12-09
2431,棕榈园林,建筑施工,广东,2016-12-09
2432,九安医疗,医疗保健,天津,2016-12-09
2433,太安堂,中成药,广东,2016-12-09
2434,万里扬,汽车配件,浙江,2016-12-09
2435,长江润发,机械基件,江苏,2016-12-09
2436,兴森科技,元器件,深圳,2016-12-09
2437,誉衡药业,化学制药,黑龙江,2016-12-09
2438,江苏神通,机械基件,江苏,2016-12-09
2473,圣莱达,家用电器,浙江,2016-12-09
2439,启明星辰,软件服务,北京,2016-12-09
2442,龙星化工,化工原料,河北,2016-12-09
2443,金洲管道,钢加工,浙江,2016-12-09
2444,巨星科技,轻工机械,浙江,2016-12-09
2445,中南重工,机械基件,江苏,2016-12-09
2446,盛路通信,通信设备,广东,2016-12-09
2447,壹桥海参,渔业,辽宁,2016-12-09
2448,中原内配,汽车配件,河南,2016-12-09
2449,国星光电,半导体,广东,2016-12-09
2441,众业达,批发业,广东,2016-12-09
603999,读者传媒,出版业,甘肃,2016-12-09
2081,金 螳 螂,装修装饰,江苏,2016-12-09
603699,纽威股份,专用机械,江苏,2016-12-09
603599,广信股份,农药化肥,安徽,2016-12-09
603598,引力传媒,影视音像,北京,2016-12-09
603861,白云电器,电气设备,广东,2016-12-09
603866,桃李面包,食品,辽宁,2016-12-09
603869,北部湾旅,旅游服务,广西,2016-12-09
603883,老百姓,医药商业,湖南,2016-12-09
603885,吉祥航空,空运,上海,2016-12-09
603889,新澳股份,纺织,浙江,2016-12-09
603589,口子窖,白酒,安徽,2016-12-09
603898,好莱客,家居用品,广东,2016-12-09
603588,高能环境,环境保护,北京,2016-12-09
603899,晨光文具,文教休闲,上海,2016-12-09
603901,永创智能,专用机械,浙江,2016-12-09
