code,name,ename,id,industry,id_industry,area,id_area
002748,世龙实业,SLSY_002748,2748,化工原料,141,江西,37
600231,凌钢股份,LGGF_600231,600231,普钢,24,辽宁,73
600438,通威股份,TWGF_600438,600438,饲料,18,四川,113
002428,云南锗业,YNZY_002428,2428,小金属,33,云南,33
600366,宁波韵升,NBYS_600366,600366,电器仪表,60,浙江,397
601919,中远海控,ZYHK_601919,601919,水运,14,天津,49
600882,广泽股份,GZGF_600882,600882,乳制品,10,上海,267
600260,凯乐科技,KLKJ_600260,600260,通信设备,105,湖北,96
300578,会畅通讯,HCTX_300578,300578,通信设备,105,上海,267
600308,华泰股份,HTGF_600308,600308,造纸,23,山东,190
600276,恒瑞医药,HRYY_600276,600276,化学制药,80,江苏,364
000586,汇源通信,HYTX_000586,586,通信设备,105,四川,113
600624,复旦复华,FDFH_600624,600624,综合类,31,上海,267
601139,深圳燃气,SZRQ_601139,601139,供气供热,23,深圳,264
000043,中航地产,ZHDC_000043,43,全国地产,39,深圳,264
000020,深华发Ａ,SHFＡ_000020,20,元器件,149,深圳,264
600203,福日电子,FRDZ_600203,600203,元器件,149,福建,129
300525,博思软件,BSRJ_300525,300525,软件服务,157,福建,129
600963,岳阳林纸,YYLZ_600963,600963,造纸,23,湖南,97
000613,*ST东海A,*STDHA_000613,613,旅游服务,13,海南,30
600206,有研新材,YYXC_600206,600206,半导体,55,北京,302
300630,普利制药,PLZY_300630,300630,化学制药,80,海南,30
002155,湖南黄金,HNHJ_002155,2155,黄金,11,湖南,97
600405,动力源,DLY_600405,600405,电气设备,154,北京,302
601020,华钰矿业,HYKY_601020,601020,铅锌,14,西藏,15
600305,恒顺醋业,HSCY_600305,600305,食品,54,江苏,364
002003,伟星股份,WXGF_002003,2003,服饰,55,浙江,397
600988,赤峰黄金,CFHJ_600988,600988,黄金,11,内蒙,25
000050,深天马Ａ,STMＡ_000050,50,元器件,149,深圳,264
002845,同兴达,TXD_002845,2845,元器件,149,深圳,264
